"Number","Sample.x","SiO2 (%)","TiO2","Al2O3","Fe2O3","FeO","Fe","MnO","Mn","MgO","CaO","Na2O","K2O","P2O5","SO3","C","CO2","LOI","H2O","Cl","Total","Li","Be","Rb","Sr","Cs","Ba","B","Br","Sc","V","Cr","Co","Ni","Cu","Zn","Ga","Ge","As","Y","Zr","Nb","Mo","Ag","Cd","Sn","Sb","Te","Hf","Ta","W","Au","Hg","Tl","Pb","Bi","Th","U","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Fe/Mn","Ref","Type","Fe_species","Mn_species","Locality","Age","method","Notes","Sample.y","Formation","Pathway"
44,"ChQA10","45.44",2.52,11.53,16.57,0.92,NA,"0.18",NA,3.34,"1.53","n.d.","1.79","0.08",NA,NA,NA,"15.9",NA,NA,98.8,"10,430",803,"80,360","36,120","1963","76,710",NA,NA,NA,NA,NA,NA,NA,NA,"109.53",NA,NA,NA,NA,NA,"11,940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,11540,33210,"3803","16,530",4371,1238,4553,"745",4387,"867",2287,331,2068,286,83.14,34,"Laterite brecciated flow top","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQA10",NA,NA
45,"ChQA11","46.92",2.43,11.72,15.91,0.85,NA,"0.22",NA,3.3,"1.39","n.d.","1.82","0.05",NA,NA,NA,"15.87",NA,NA,99.55,"10,340",809,"75,650","34,680","1528","84,040",NA,NA,NA,NA,NA,NA,NA,NA,"103.68",NA,NA,NA,NA,NA,"11,310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,NA,NA,NA,NA,10260,28960,"3305","14,440",3844,1173,4161,"691",4133,"834",2236,324,2078,291,65.31,34,"Laterite brecciated flow top","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQA11",NA,NA
46,"ChQA12","45.14",2.27,12.44,16.23,0.82,NA,"0.2",NA,3.43,"1.4","n.d.","1.69","0.03",NA,NA,NA,"16.47",NA,NA,99.24,"8789",839,"70,450","36,640","1377","64,760",NA,NA,NA,NA,NA,NA,NA,NA,"119.65",NA,NA,NA,NA,NA,"10,320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,10100,23080,"3338","14,970",4095,1353,4652,"763",4635,"939",2543,368,2356,337,73.29,34,"Laterite brecciated flow top","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQA12",NA,NA
47,"ChQB1","41.76",2.58,15.16,16.4,0.47,NA,"0.39",NA,2.61,"1.97","0.3","0.64","0.17",NA,NA,NA,"17.42",NA,NA,99.4,"6570",846,"10,460","61,940","111","172,400",NA,NA,NA,NA,NA,NA,NA,NA,"130.44",NA,NA,NA,NA,NA,"10,170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,13730,32290,"5150","23,770",6450,1956,7109,"1144",6789,"1364",3652,524,3241,453,37.98,34,"Laterite","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQB1",NA,NA
48,"ChQB2","41.43",2.72,15.85,16.74,0.6,NA,"0.38",NA,2.74,"1.92","0.26","0.48","0.14",NA,NA,NA,"16.68",NA,NA,99.33,"6290",807,"8058","57,760","150","91,070",NA,NA,NA,NA,NA,NA,NA,NA,"139.16",NA,NA,NA,NA,NA,"10,620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,11770,35070,"4507","20,550",5697,1745,6210,"1036",6297,"1272",3441,500,3138,441,39.79,34,"Laterite","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQB2",NA,NA
49,"ChQB3","41.29",2.59,14.99,17.97,1.18,NA,"0.31",NA,2.28,"2.92","0.84","0.31","0.2",NA,NA,NA,"15.01",NA,NA,98.69,"5076",803,"5368","102,000","236","89,130",NA,NA,NA,NA,NA,NA,NA,NA,"127.33",NA,NA,NA,NA,NA,"10,120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,15300,32620,"5556","26,090",7083,2367,8054,"1274",7569,"1518",3992,564,3433,478,52.35,34,"Laterite","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQB3",NA,NA
50,"ChQB4","42.14",2.67,15.14,17.14,1.1,NA,"0.31",NA,2.14,"3.29","1.04","0.29","0.22",NA,NA,NA,"14.83",NA,NA,99.2,"5351",796,"4333","113,400","188","93,010",NA,NA,NA,NA,NA,NA,NA,NA,"127.69",NA,NA,NA,NA,NA,"10,280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,13710,32290,"4901","22,960",6283,2116,7185,"1130",6657,"1334",3510,489,2970,413,49.93,34,"Laterite","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQB4",NA,NA
51,"ChQB5","43.69",2.55,14.48,16.82,2.42,NA,"0.26",NA,2.97,"5.39","1.59","0.26","0.21",NA,NA,NA,"10.86",NA,NA,99.1,"5167",700,"3551","151,900","145","94,790",NA,NA,NA,NA,NA,NA,NA,NA,"123.77",NA,NA,NA,NA,NA,"9728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,12560,29130,"4488","20,970",5732,1984,6593,"1046",6226,"1243",3250,456,2769,389,58.43,34,"Laterite","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQB5",NA,NA
52,"ChQB6","46.95",2.32,13.39,15.4,6.17,NA,"0.21",NA,4.71,"9.06","2.11","0.31","0.21",NA,NA,NA,"4.93",NA,NA,99.59,"5583",773,"3287","185,500","82","99,950",NA,NA,NA,NA,NA,NA,NA,NA,"118.91",NA,NA,NA,NA,NA,"8956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,12660,26220,"4549","21,560",6133,2209,7475,"1201",7396,"1505",4005,568,3453,481,66.23,34,"Laterite","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQB6",NA,NA
53,"ChQB7","46.35",2.23,13.7,15.73,6.18,NA,"0.22",NA,4.75,"8.43","1.81","0.18","0.19",NA,NA,NA,"6.01",NA,NA,99.59,"6094",629,"1853","166,500","79","86,700",NA,NA,NA,NA,NA,NA,NA,NA,"113.25",NA,NA,NA,NA,NA,"8279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,10520,24890,"3880","18,520",5258,1906,6212,"1006",6090,"1229",3283,466,2842,398,64.57,34,"Laterite","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQB7",NA,NA
54,"ChQB8","47.34",2.35,12.98,15.6,7,NA,"0.23",NA,4.92,"9.48","2.26","0.22","0.21",NA,NA,NA,"3.55",NA,NA,99.12,"5933",726,"1644","195,500","79","113,600",NA,NA,NA,NA,NA,NA,NA,NA,"126.64",NA,NA,NA,NA,NA,"9195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,12460,27970,"4442","20,980",5960,2113,7105,"1159",7100,"1440",3857,547,3328,468,61.26,34,"Laterite","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQB8",NA,NA
55,"ChQB9a","45.12",2.33,13.22,17.2,4.71,NA,"0.25",NA,3.88,"6.88","1.57","0.19","0.2",NA,NA,NA,"8.57",NA,NA,99.42,"5178",750,"1802","145,900","85","92,080",NA,NA,NA,NA,NA,NA,NA,NA,"122.63",NA,NA,NA,NA,NA,"8880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,11180,27310,"4071","19,230",5408,1870,6284,"1014",6101,"1228",3293,471,2880,405,62.14,34,"Laterite Corestone","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQB9a",NA,NA
56,"ChQB9b","47.58",2.31,13.11,15.42,6.58,NA,"0.23",NA,4.87,"9.38","2.25","0.22","0.2",NA,NA,NA,"4.31",NA,NA,99.87,"5330",630,"1477","191,000","60","95,020",NA,NA,NA,NA,NA,NA,NA,NA,"116.32",NA,NA,NA,NA,NA,"8575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,11440,26540,"4029","19,000",5397,1917,6547,"1072",6573,"1342",3599,509,3115,441,60.55,34,"Laterite Corestone","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQB9b",NA,NA
57,"ChQB9c","48.16",2.24,13.03,15.23,7.2,NA,"0.22",NA,5.09,"9.9","2.33","0.23","0.2",NA,NA,NA,"3.4",NA,NA,100.04,"5526",681,"1447","198,000","51","99,650",NA,NA,NA,NA,NA,NA,NA,NA,"114.77",NA,NA,NA,NA,NA,"8566",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,11130,26810,"3936","18,620",5290,1846,6383,"1036",6389,"1319",3560,504,3070,441,62.52,34,"Laterite Least weathered corestone","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQB9c",NA,NA
58,"ChQB9d","48.75",2.36,13.69,13.36,6.55,NA,"0.2",NA,5.03,"10.16","2.49","0.23","0.21",NA,NA,NA,"3.33",NA,NA,99.79,"5360",573,"1231","210,200","30","110,400",NA,NA,NA,NA,NA,NA,NA,NA,"112.09",NA,NA,NA,NA,NA,"8821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,11520,27650,"4032","18,700",5296,1898,6369,"1044",6402,"1319",3527,501,3020,426,60.33,34,"Laterite Corestone","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQB9d",NA,NA
59,"ChQB10","41.28",2.78,14.92,18.16,4.97,NA,"0.24",NA,3.95,"5.43","0.68","0.12","0.2",NA,NA,NA,"10.78",NA,NA,98.53,"7695",890,"2008","125,600","74","182,400",NA,NA,NA,NA,NA,NA,NA,NA,"145.15",NA,NA,NA,NA,NA,"10,670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,19250,28900,"6346","29,780",8280,2839,NA,"1623",9809,"2013",5302,741,4442,626,68.34,34,"Laterite Topsoil","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQB10",NA,NA
60,"ChQB11","39.98",3.32,15.17,19.92,5.2,NA,"0.3",NA,3.62,"5.57","0.91","0.29","0.16",NA,NA,NA,"10.04",NA,NA,99.27,"11,970",908,"13,700","112,000","509","165,200",NA,NA,NA,NA,NA,NA,NA,NA,"139.63",NA,NA,NA,NA,NA,"12,220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,12450,32240,"4344","19,770",5483,1849,6305,"1041",6271,"1286",3448,497,3080,434,59.97,34,"Laterite Topsoil","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQB11",NA,NA
61,"ChQB12","48.72",2.23,12.93,15.07,9.75,NA,"0.23",NA,5.46,"10.55","2.43","0.28","0.2",NA,NA,NA,"1.51",NA,NA,99.61,"5713",686,"5226","201,500","89","83,570",NA,NA,NA,NA,NA,NA,NA,NA,"113.38",NA,NA,NA,NA,NA,"8554",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,10800,26790,"3876","18,270",5137,1809,6103,"994",6058,"1246",3319,473,2901,413,59.17,34,"Laterite Corestone","oxide",NA,"Chhindwara, India",NA,"whole rock XRF, ICPMS",NA,"ChQB12",NA,NA
62,"MIS-05","50.37",1.93,13.54,13.8,NA,NA,"0.19",NA,5.84,"9.98","2.3","1.14","0.23",NA,NA,NA,"1.53",NA,NA,100.9,NA,NA,"32","305","0.5","284",NA,NA,"41","452","140","43","60","160","140",NA,NA,NA,"29","146",NA,NA,NA,NA,NA,NA,NA,"3.8","0.7",NA,NA,NA,NA,"22",NA,2.7,"2.8",19,43.9,"5.12","21",4.8,1.81,5.4,"0.9",5.5,"1.1",3.1,0.45,2.9,0.43,65.6,5,"Laterite","oxide","oxide","Misione, Argentina",NA,"whole rock ICPMS, ICPOES",NA,"MIS-05",NA,NA
63,"MIS-04","46.78",2.35,12.74,14.69,NA,NA,"0.179",NA,4.9,"5.5","1.93","1.21","0.26",NA,NA,NA,"8.22",NA,NA,98.78,NA,NA,"16","222","0.5","345",NA,NA,"37","329","110","49","20","260","240",NA,NA,NA,"47","166",NA,NA,NA,NA,NA,NA,NA,"4.4","1.1",NA,NA,NA,NA,"13",NA,2.8,"2.1",28.6,48.6,"6.94","28.9",6.2,2.32,7.3,"1.2",7.1,"1.4",4,0.58,3.6,0.55,74.12,5,"Laterite","oxide","oxide","Misione, Argentina",NA,"whole rock ICPMS, ICPOES",NA,"MIS-04",NA,NA
64,"MIS-03","41.88",2.64,15.73,16.81,NA,NA,"0.254",NA,3.94,"2.71","0.88","0.98","0.24",NA,NA,NA,"14.36",NA,NA,100.4,NA,NA,"34","130","1.2","439",NA,NA,"45","495","140","71","40","330","290",NA,NA,NA,"53","194",NA,NA,NA,NA,NA,NA,NA,"5.1","1.3",NA,NA,NA,NA,"13",NA,3.4,"1.3",54.7,77.7,"15.1","60.8",12.2,4.14,12.4,"1.9",10.5,"1.9",5.5,0.76,4.8,0.69,59.77,5,"Laterite","oxide","oxide","Misione, Argentina",NA,"whole rock ICPMS, ICPOES",NA,"MIS-03",NA,NA
65,"MIS-02","39.78",2.93,22.01,21.02,NA,NA,"0.165",NA,0.47,"0.18","0.07","0.15","0.14",NA,NA,NA,"14.06",NA,NA,101,NA,NA,"15","22","2.4","150",NA,NA,"59","413","100","43","30","340","240",NA,NA,NA,"11","237",NA,NA,NA,NA,NA,NA,NA,"5.9","1.5",NA,NA,NA,NA,"24",NA,5.1,"2.7",29.9,40.5,"5.52","18",2.9,0.9,2.7,"0.4",2.3,"0.4",1.3,0.2,1.3,0.19,115.05,5,"Laterite","oxide","oxide","Misione, Argentina",NA,"whole rock ICPMS, ICPOES",NA,"MIS-02",NA,NA
66,"MIS-01","34.17",2.82,24.96,16.8,NA,NA,"0.063",NA,0.17,"0.02","0.08","0.01","0.1",NA,NA,NA,"20",NA,NA,99.16,NA,NA,"7","15","3.9","60",NA,NA,"42","476","110","9","40","160","110",NA,NA,NA,"23","327",NA,NA,NA,NA,NA,NA,NA,"8.3","1.9",NA,NA,NA,NA,"57",NA,12.6,"3.6",41.9,95,"9.37","33.1",5.9,1.55,5.1,"0.8",4.5,"0.9",2.6,0.39,2.6,0.38,240.83,5,"Laterite","oxide","oxide","Misione, Argentina",NA,"whole rock ICPMS, ICPOES",NA,"MIS-01",NA,NA
67,"LAT-IGZ","29.73",2.56,22.67,15.84,NA,NA,"0.074",NA,0.16,"0.04","0.03","0.03","0.1",NA,NA,NA,"27.32",NA,NA,98.55,NA,NA,"6","13","4.5","55",NA,NA,"n.d.","442","107","15","<20","146","57",NA,NA,NA,"25","252",NA,NA,NA,NA,NA,NA,NA,"6.5","1.4",NA,NA,NA,NA,"20",NA,8.5,"2.4",44.8,91.6,"10.39","37",6.5,1.8,5.7,"0.9",5.2,"1",2.9,0.43,2.7,0.4,193.32,5,"Laterite","oxide","oxide","Misione, Argentina",NA,"whole rock ICPMS, ICPOES",NA,"LAT-IGZ",NA,NA
68,"Basalt1","50",2.7,13.06,15.34,NA,NA,"0.23",NA,4.99,"9.32","2.41","0.86","0.33",NA,NA,NA,"1.26",NA,NA,100.37,NA,NA,"22.77","410.9","0.39","350",NA,NA,"40","n.d.","131.3","45.1","50.91","n.d.","n.d.",NA,NA,NA,"35.8","186.5",NA,NA,NA,NA,NA,NA,NA,"4.41","1.11",NA,NA,NA,NA,"n.d.",NA,2.87,"0.57",24.54,56.09,"n.d.","29.2",6.01,2.23,NA,"1.25",NA,"n.d.",NA,NA,3.31,0.47,60.23,5,"Laterite","oxide","oxide","Misione, Argentina",NA,"whole rock ICPMS, ICPOES",NA,"Basalt1",NA,NA
69,"Basalt2","52.5",1.52,13.77,13.43,NA,NA,"0.2",NA,5.29,"9.32","2.7","1.03","0.22",NA,NA,NA,"0.83",NA,NA,99.65,NA,NA,"38.71","219.9","1.6","315",NA,NA,"38","325.52","155.29","41.86","47","154.42","101.89",NA,NA,NA,"35","149.95",NA,NA,NA,NA,NA,NA,NA,"3.91","1.21",NA,NA,NA,NA,"6.63",NA,4.45,"1.42",18.9,41.67,"n.d.","23.3",5.43,1.68,NA,"1.05",NA,"n.d.",NA,NA,3.33,0.53,60.64,5,"Laterite","oxide","oxide","Misione, Argentina",NA,"whole rock ICPMS, ICPOES",NA,"Basalt2",NA,NA
70,"Ooid1","14.07",NA,4.59,NA,76.79,NA,NA,NA,1.71,NA,NA,NA,"2.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Iron marine ooids","oxide",NA,"Panarea, Italy","Modern","SEM-EDX",NA,"Ooid1",NA,NA
71,"Ooid2","9.82",NA,2.91,NA,84.5,NA,NA,NA,NA,NA,NA,NA,"1.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Iron marine ooids","oxide",NA,"Panarea, Italy","Modern","SEM-EDX",NA,"Ooid2",NA,NA
72,"Ooid3","11.78",NA,3.48,NA,79.41,NA,NA,NA,1.71,NA,NA,NA,"2.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Iron marine ooids","oxide",NA,"Panarea, Italy","Modern","SEM-EDX",NA,"Ooid3",NA,NA
73,"Ooid4","10.01",NA,6.73,NA,77.5,NA,NA,NA,NA,NA,NA,NA,"3.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Iron marine ooids","oxide",NA,"Panarea, Italy","Modern","SEM-EDX",NA,"Ooid4",NA,NA
74,"Ooid5","11.08",NA,1.98,NA,82.55,NA,NA,NA,1.76,"0.59",NA,NA,"2.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Iron marine ooids","oxide",NA,"Panarea, Italy","Modern","SEM-EDX",NA,"Ooid5",NA,NA
75,"Ooid6","14",NA,3.85,NA,77.23,NA,NA,NA,1.67,"0.9",NA,NA,"1.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Iron marine ooids","oxide",NA,"Panarea, Italy","Modern","SEM-EDX",NA,"Ooid6",NA,NA
76,"Ooid7","10.34",NA,2.85,NA,83.01,NA,NA,NA,1.77,NA,NA,NA,"1.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Iron marine ooids","oxide",NA,"Panarea, Italy","Modern","SEM-EDX",NA,"Ooid7",NA,NA
77,"Ooid8","12.57",NA,4.16,NA,78.18,NA,NA,NA,1.28,NA,NA,NA,"3.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Iron marine ooids","oxide",NA,"Panarea, Italy","Modern","SEM-EDX",NA,"Ooid8",NA,NA
78,"Ooid9","9.56",NA,1.66,NA,87.63,NA,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Iron marine ooids","oxide",NA,"Panarea, Italy","Modern","SEM-EDX",NA,"Ooid9",NA,NA
79,"Ooid10","12.44",NA,4.85,NA,79.01,NA,NA,NA,1.32,NA,NA,NA,"1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Iron marine ooids","oxide",NA,"Panarea, Italy","Modern","SEM-EDX",NA,"Ooid10",NA,NA
80,"Sample 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","384",NA,"126",NA,NA,NA,"717","39",NA,"26","28","100",NA,NA,496,"33","78","12","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69",NA,20,"-",NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Iron marine ooids","oxide",NA,"Panarea, Italy","Modern","whole rock, XRF",NA,"Sample 1",NA,NA
81,"Sample 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34","114",NA,"90",NA,NA,NA,"1030","33",NA,"61","45","160",NA,NA,728,"38","39","6","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45",NA,13,"10",NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Iron marine ooids","oxide",NA,"Panarea, Italy","Modern","whole rock, XRF",NA,"Sample 2",NA,NA
82,"Sample 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33","81",NA,"88",NA,NA,NA,"951","25",NA,"55","42","127",NA,NA,682,"34","35","11","108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40",NA,11,"13",NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Iron marine ooids","oxide",NA,"Panarea, Italy","Modern","whole rock, XRF",NA,"Sample 3",NA,NA
83,"Sample 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","407",NA,"201",NA,NA,NA,"795","45",NA,"35","34","153",NA,NA,535,"34","82","13","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74",NA,20,"-",NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Iron marine ooids","oxide",NA,"Panarea, Italy","Modern","whole rock, XRF",NA,"Sample 4",NA,NA
84,"R73658","58.92",0.03,0.14,39.7,NA,NA,"0.03",NA,NA,"0.01","0.08","0.02","0.04","0.09",NA,NA,"0.73",NA,NA,99.79,NA,NA,"<3","10","<0.5","750",NA,NA,"5","120","14",NA,"14","37","8","8",NA,0.5,"<3","<3","<3",NA,"<5",NA,NA,"<0.1",NA,"<0.2","<0.5",NA,"<5",NA,NA,"<6",NA,1.8,"<2",32.5,62.7,NA,"27.1",4.78,1.03,NA,"0.39",NA,"0.21",NA,NA,0.18,0.02,1195.14,7,"Ironstone Iron formation Quartzofeldsapthic suite qz-mt","oxide",NA,"Olary Block, Australia","Proterozoic","whole rock, XRF",NA,"R73658",NA,NA
85,"R73675","63.6",0.07,0.17,25.91,NA,NA,"0.04",NA,0.01,"0.11","0.54","0.31","0.6","1.73",NA,NA,"6.85",NA,NA,99.94,NA,NA,"6","332","<0.5","200",NA,NA,"1.3","35","17",NA,"<4","140","30","11",NA,3.5,"5","14","<2",NA,"<5",NA,NA,"0.2",NA,"0.3","<0.5",NA,"645",NA,NA,"470",NA,0.7,"<2",8.55,15.8,NA,"6.91",1.22,0.18,NA,"0.18",NA,"0.22",NA,NA,0.37,0.05,585,7,"Ironstone Iron formation Quartzofeldsapthic suite qz-mt-hm-py","oxide",NA,"Olary Block, Australia","Proterozoic","whole rock, XRF",NA,"R73675",NA,NA
86,"R73653","0.85",0.65,0.25,96.86,NA,NA,"0.14",NA,0.02,"0.06","0.08","0.02","0.28","0.07",NA,NA,"0.33",NA,NA,99.61,NA,NA,"<5","38","<0.5","27",NA,NA,"0.6","1190","17",NA,"64","46","55","27",NA,4.3,"6","4","<4",NA,"<5",NA,NA,"0.4",NA,"<0.2","<0.5",NA,"<5",NA,NA,"10",NA,0.4,"<2",24,42.1,NA,"11.34",1.83,0.58,NA,"0.26",NA,"0.26",NA,NA,0.29,0.02,624.83,7,"Ironstone Iron formation Quartzofeldsapthic suite qt-hm-qz","oxide",NA,"Olary Block, Australia","Proterozoic","whole rock, XRF",NA,"R73653",NA,NA
87,"R73646","43.88",0.23,4.14,48.03,NA,NA,"0.03",NA,0.07,"0.16","1.63","0.41","0.21","0.02",NA,NA,"0.9",NA,NA,99.71,NA,NA,"18","21","<0.5","112",NA,NA,"4.1","221","33.3",NA,"7","38","28","24",NA,0.8,"21","66","6",NA,"<5",NA,NA,"<0.1",NA,"1.5","<0.5",NA,"<5",NA,NA,"<6",NA,5.2,"<2",3.87,7.98,NA,"5.49",1.49,0.38,NA,"0.28",NA,"0.42",NA,NA,1.18,0.19,1445.91,7,"Ironstone epigenetic ironstone Pelite Suite qz-mt-ab","oxide",NA,"Olary Block, Australia","Proterozoic","whole rock, XRF",NA,"R73646",NA,NA
