Number,Sample,SiO2 (%),TiO2,Al2O3,Fe2O3,FeO,Fe,MnO,Mn,MgO,CaO,Na2O,K2O,P2O5,SO3,C,CO2,LOI,H2O,Cl,Total,Li,Be,Rb,Sr,Cs,Ba,B,Br,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Te,Hf,Ta,W,Au,Hg,Tl,Pb,Bi,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Fe/Mn,Ref,Type,Fe_species,Mn_species,Locality,Age,method,Notes
67,LAT-IGZ,29.73,2.56,22.67,15.84,,,0.074,,0.16,0.04,0.03,0.03,0.1,,,,27.32,,,98.55,,,6,13,4.5,55,,,n.d.,442,107,15,<20,146,57,,,,25,252,,,,,,,,6.5,1.4,,,,,20,,8.5,2.4,44.8,91.6,10.39,37,6.5,1.8,5.7,0.9,5.2,1,2.9,0.43,2.7,0.4,193.32,5,Laterite,oxide,oxide,"Misione, Argentina",,"whole rock ICPMS, ICPOES",
68,Basalt1,50,2.7,13.06,15.34,,,0.23,,4.99,9.32,2.41,0.86,0.33,,,,1.26,,,100.37,,,22.77,410.9,0.39,350,,,40,n.d.,131.3,45.1,50.91,n.d.,n.d.,,,,35.8,186.5,,,,,,,,4.41,1.11,,,,,n.d.,,2.87,0.57,24.54,56.09,n.d.,29.2,6.01,2.23,n.d.,1.25,n.d.,n.d.,n.d.,n.d.,3.31,0.47,60.23,5,Laterite,oxide,oxide,"Misione, Argentina",,"whole rock ICPMS, ICPOES",
69,Basalt2,52.5,1.52,13.77,13.43,,,0.2,,5.29,9.32,2.7,1.03,0.22,,,,0.83,,,99.65,,,38.71,219.9,1.6,315,,,38,325.52,155.29,41.86,47,154.42,101.89,,,,35,149.95,,,,,,,,3.91,1.21,,,,,6.63,,4.45,1.42,18.9,41.67,n.d.,23.3,5.43,1.68,n.d.,1.05,n.d.,n.d.,n.d.,n.d.,3.33,0.53,60.64,5,Laterite,oxide,oxide,"Misione, Argentina",,"whole rock ICPMS, ICPOES",
70,Ooid1,14.07,,4.59,,76.79,,,,1.71,,,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Iron marine ooids,oxide,,"Panarea, Italy",Modern,SEM-EDX,
71,Ooid2,9.82,,2.91,,84.5,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Iron marine ooids,oxide,,"Panarea, Italy",Modern,SEM-EDX,
72,Ooid3,11.78,,3.48,,79.41,,,,1.71,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Iron marine ooids,oxide,,"Panarea, Italy",Modern,SEM-EDX,
73,Ooid4,10.01,,6.73,,77.5,,,,,,,,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Iron marine ooids,oxide,,"Panarea, Italy",Modern,SEM-EDX,
74,Ooid5,11.08,,1.98,,82.55,,,,1.76,0.59,,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Iron marine ooids,oxide,,"Panarea, Italy",Modern,SEM-EDX,
75,Ooid6,14,,3.85,,77.23,,,,1.67,0.9,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Iron marine ooids,oxide,,"Panarea, Italy",Modern,SEM-EDX,
76,Ooid7,10.34,,2.85,,83.01,,,,1.77,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Iron marine ooids,oxide,,"Panarea, Italy",Modern,SEM-EDX,
77,Ooid8,12.57,,4.16,,78.18,,,,1.28,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Iron marine ooids,oxide,,"Panarea, Italy",Modern,SEM-EDX,
78,Ooid9,9.56,,1.66,,87.63,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Iron marine ooids,oxide,,"Panarea, Italy",Modern,SEM-EDX,
79,Ooid10,12.44,,4.85,,79.01,,,,1.32,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Iron marine ooids,oxide,,"Panarea, Italy",Modern,SEM-EDX,
80,Sample 1,,,,,,,,,,,,,,,,,,,,,,,76,384,,126,,,,717,39,,26,28,100,,,496,33,78,12,40,,,,,,,,,,,,69,,20,-,,46,,,,,,,,,,,,,,6,Iron marine ooids,oxide,,"Panarea, Italy",Modern,"whole rock, XRF",
81,Sample 2,,,,,,,,,,,,,,,,,,,,,,,34,114,,90,,,,1030,33,,61,45,160,,,728,38,39,6,110,,,,,,,,,,,,45,,13,10,,31,,,,,,,,,,,,,,6,Iron marine ooids,oxide,,"Panarea, Italy",Modern,"whole rock, XRF",
82,Sample 3,,,,,,,,,,,,,,,,,,,,,,,33,81,,88,,,,951,25,,55,42,127,,,682,34,35,11,108,,,,,,,,,,,,40,,11,13,,24,,,,,,,,,,,,,,6,Iron marine ooids,oxide,,"Panarea, Italy",Modern,"whole rock, XRF",
83,Sample 4,,,,,,,,,,,,,,,,,,,,,,,76,407,,201,,,,795,45,,35,34,153,,,535,34,82,13,46,,,,,,,,,,,,74,,20,-,,55,,,,,,,,,,,,,,6,Iron marine ooids,oxide,,"Panarea, Italy",Modern,"whole rock, XRF",
84,R73658,58.92,0.03,0.14,39.7,,,0.03,,<0.01,0.01,0.08,0.02,0.04,0.09,,,0.73,,,99.79,,,<3,10,<0.5,750,,,5,120,14,,14,37,8,8,,0.5,<3,<3,<3,,<5,,,<0.1,,<0.2,<0.5,,<5,,,<6,,1.8,<2,32.5,62.7,,27.1,4.78,1.03,,0.39,,0.21,,,0.18,0.02,1195.14,7,Ironstone Iron formation Quartzofeldsapthic suite qz-mt,oxide,,"Olary Block, Australia",Proterozoic,"whole rock, XRF",
85,R73675,63.6,0.07,0.17,25.91,,,0.04,,0.01,0.11,0.54,0.31,0.6,1.73,,,6.85,,,99.94,,,6,332,<0.5,200,,,1.3,35,17,,<4,140,30,11,,3.5,5,14,<2,,<5,,,0.2,,0.3,<0.5,,645,,,470,,0.7,<2,8.55,15.8,,6.91,1.22,0.18,,0.18,,0.22,,,0.37,0.05,585,7,Ironstone Iron formation Quartzofeldsapthic suite qz-mt-hm-py,oxide,,"Olary Block, Australia",Proterozoic,"whole rock, XRF",
86,R73653,0.85,0.65,0.25,96.86,,,0.14,,0.02,0.06,0.08,0.02,0.28,0.07,,,0.33,,,99.61,,,<5,38,<0.5,27,,,0.6,1190,17,,64,46,55,27,,4.3,6,4,<4,,<5,,,0.4,,<0.2,<0.5,,<5,,,10,,0.4,<2,24,42.1,,11.34,1.83,0.58,,0.26,,0.26,,,0.29,0.02,624.83,7,Ironstone Iron formation Quartzofeldsapthic suite qt-hm-qz,oxide,,"Olary Block, Australia",Proterozoic,"whole rock, XRF",
87,R73646,43.88,0.23,4.14,48.03,,,0.03,,0.07,0.16,1.63,0.41,0.21,0.02,,,0.9,,,99.71,,,18,21,<0.5,112,,,4.1,221,33.3,,7,38,28,24,,0.8,21,66,6,,<5,,,<0.1,,1.5,<0.5,,<5,,,<6,,5.2,<2,3.87,7.98,,5.49,1.49,0.38,,0.28,,0.42,,,1.18,0.19,1445.91,7,Ironstone epigenetic ironstone Pelite Suite qz-mt-ab,oxide,,"Olary Block, Australia",Proterozoic,"whole rock, XRF",
88,R73669,29.47,0.49,8.1,56.8,,,0.03,,0.03,0.03,4.26,0.08,0.06,0.03,,,0.42,,,99.8,,,<3,17,<0.5,154,,,10.4,98,43,,21,24,11,18,,<0.5,77,132,10,,<5,,,<0.1,,3.6,<0.5,,<5,,,7,,10.5,<2,2.31,6.89,,7.6,5.86,2.99,,2.35,,3,,,6.2,0.94,1709.92,7,Ironstone epigenetic ironstone Pelite Suite hm-mt-qz-ab,oxide,,"Olary Block, Australia",Proterozoic,"whole rock, XRF",
89,R77350,29.42,0.07,2.57,30.5,26.43,,5.83,,0.97,1.78,0.06,0.01,1.05,0.05,,,0.94,,,99.68,,,10,27,<1,26,,,1.6,201,13,,21,34,627,7,,240,3,19,<2,,<5,,,<0.2,,<0.5,<1,,61,,,14,,1.7,21.2,23.8,32.1,,na,1.79,0.68,,<1,,na,,,<0.5,<0.2,9.27,7,Ironstone Iron formation Pelite Suite mt-am-ol-gn-qz-ap-hm,oxide,,"Olary Block, Australia",Proterozoic,"whole rock, XRF",
90,R73353,9.75,0.07,1.09,75.65,6,,1.87,,0.14,1.68,0.09,0.03,1.6,0.12,,,2,,,100.09,,,<2,166,1.2,46,,,1.1,172,10.7,,14,38,279,7,,4.4,12,16,4,,<5,,,<0.2,,<0.5,<1,,22,,,19,,1.3,30.5,69.2,88.9,,na,2.85,1.96,,<1,,na,,,0.78,<0.2,39.76,7,Ironstone Iron formation Pelite Suite mt-am-ol-gn-qz-ap-hm,oxide,,"Olary Block, Australia",Proterozoic,"whole rock, XRF",
91,R73351,40.36,0.52,17.74,20.8,15.72,,2.26,,1.26,1.6,0.07,0.03,0.1,0.15,,,0.89,,,101.5,,,7,26,<1,84,,,11,93,44,,6,55,82,12,,13.4,19,138,14,,<5,,,<0.2,,4.1,2.5,,27,,,5,,14,3.9,77.6,119,,na,5.78,1.2,,<1,,na,,,2.41,0.32,15.29,7,Ironstone garnet-quartz rock Pelite Suite gn-qz-il-ap,oxide,,"Olary Block, Australia",Proterozoic,"whole rock, XRF",
92,R70569,49.15,0.33,8.73,26.04,,,0.06,,2.08,5.76,6.46,0.46,0.28,0.03,,,0.34,,,99.71,,,11,24,na,68,,,12,157,57,,40,27,15,15,,22,20,100,10,,<5,,,na,,na,na,,na,,,6,,15,4,na,na,,na,na,na,,na,,na,,,na,na,391.96,7,Ironstone iron formation Calc-silicate suite qz-ab-hm-cpx-am,oxide,oxide,"Olary Block, Australia",Proterozoic,"whole rock, XRF",
93,HK06-1,31.23,5.17,26.71,23.48,,,0.09,0.06,0.27,0.02,0.04,0.17,0.17,,,,12.63,,,99.99,,,9.57,25.52,1.71,62,,,35.9,291,447,30.2,172,118,105,40.7,2.22,,14,302,61.1,,,,,,,14.7,3.95,,,,,12.5,,9.2,1.96,40.3,67.1,7.41,27.5,4.95,1.34,3.86,0.57,2.97,0.52,1.49,0.19,1.33,0.2,288.63,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
94,HK06-2,31.49,4.67,27.2,23.45,,,0.09,0.06,0.25,0.02,0.13,0.15,0.8,,,,12.98,,,100.6,,,7.82,25.44,1.51,57.7,,,37.4,302,427,17.9,179,120,102,41.6,2.28,,12.8,300,57.8,,,,,,,14.2,3.6,,,,,12.3,,9.19,1.95,39,73,7.45,26.7,4.85,1.31,3.7,0.54,2.81,0.5,1.36,0.18,1.2,0.19,295.53,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
95,HK06-3,31.82,4.09,27.88,22.69,,,0.09,0.06,0.23,0.02,0.11,0.1,0.17,,,,13.06,,,100.26,,,5.32,21.54,1.09,48.7,,,35.1,284,361,42.8,179,119,94.3,39.7,2.2,,11.3,274,49.7,,,,,,,13.6,3.31,,,,,12.1,,8.58,1.78,36.2,101,7,25.2,4.51,1.23,3.7,0.5,2.64,0.45,1.21,0.16,1.13,0.17,271.29,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
96,HK06-4,29.38,4.08,30.46,21.62,,,0.09,0.06,0.21,0.02,0.03,0.08,0.18,,,,17.14,,,100.49,,,4.25,18.97,0.85,43,,,33.9,281,534,24.6,174,124,96.9,39.5,2.18,,10.01,285,50.2,,,,,,,13.5,3.2,,,,,10.7,,7.9,1.69,32,81.1,6.13,22,4.11,1.12,3.2,0.46,2.34,0.41,1.17,0.15,1.05,0.15,265.77,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
97,HK06-5,26.38,4.47,28.31,24.4,,,0.12,0.09,0.26,0.02,0.06,0.06,0.22,,,,15.55,,,99.85,,,3.79,13.35,0.76,43.8,,,41,337,441,259,210,146,110,43.7,2.23,,10.8,281,51.2,,,,,,,14.7,3.43,,,,,14.3,,7.83,1.89,23.1,106,4.58,17.7,3.62,1.05,3.08,0.46,2.44,0.41,1.11,0.15,1.04,0.15,195.94,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
98,HK06-6,28.38,4.27,28.51,23.41,,,0.15,0.11,0.33,0.02,0.03,0.05,0.23,,,,15.07,,,100.44,,,3.89,10.4,0.69,43.9,,,41,358,332,354,246,158,116,41.6,2.71,,10.5,267,49,,,,,,,14.3,3.33,,,,,12.6,,7.1,1.58,21.6,162,4.83,20.2,4.41,1.27,4.08,0.56,2.95,0.5,1.38,0.19,1.33,0.18,146.72,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
99,HK06-7,27.99,3.98,29.84,20.97,,,0.25,0.19,0.4,0.02,0.04,0.07,0.28,,,,15.91,,,99.75,,,3.06,7.71,0.45,48.1,,,41,347,369,161,304,160,108,39.2,2.52,,12.9,267,42,,,,,,,12,2.79,,,,,9.57,,5.86,1.52,20.5,203,5.22,23.9,5.5,1.56,5.36,0.73,3.76,0.64,1.75,0.24,1.6,0.23,77.73,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
100,HK06-8,25.98,3.7,32.18,20.43,,,0.41,0.31,0.57,0.01,0.05,0.02,0.31,,,,16.91,,,100.57,,,1.88,3.96,0.41,44.6,,,40,349,359,243,3118,144,92.3,37.8,3.44,,14.8,213,39.5,,,,,,,10.9,2.56,,,,,5.82,,5.02,1.74,22,352,6.89,33.5,8.29,2.39,8.36,1.09,5.66,0.96,2.58,0.36,2.36,0.33,46.22,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
101,HK06-9,25.28,2.71,36.16,15.74,,,0.25,0.77,0.49,0.01,0.05,0.02,0.34,,,,18.71,,,100.5,,,1.76,4.25,0.35,72.1,,,37,248,319,803,395,173,93.2,35.5,2.6,,20.3,163,29.2,,,,,,,7.98,1.93,,,,,4.9,,3.72,1.87,23.1,1107,7.16,34.1,8.57,2.51,13.5,1.29,6.01,1.05,2.83,0.39,2.55,0.35,14.21,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
102,HK06-10,19.71,4.72,30.26,25.52,,,0.16,0.11,0.6,0.01,0.03,0.02,0.66,,,,18.61,,,100.28,,,2.27,2.39,0.31,155,,,44,315,6261,80.1,436,237,153,44.8,2.55,,30,278,51.2,,,,,,,14.4,3.32,,,,,5.21,,5.99,1.25,29.6,123,10.1,51.1,12.6,3.55,10.4,1.55,8.23,1.42,3.9,0.53,3.39,0.49,166.2,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
103,HK06-12,34.01,3.56,26.84,19.32,,,0.61,0.49,0.84,0.01,0.12,0.04,0.41,,,,14.65,,,100.4,,,4.33,3.2,0.44,251,,,35,260,326,205,496,229,135,34.3,2.98,,114.8,207,38.2,,,,,,,10.8,2.54,,,,,5.67,,4.9,1.03,104,159,33.7,170,41,11.8,37.7,5.53,28.3,5.07,13.8,180,10.7,1.54,27.45,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
104,HK06-13,34.03,2.95,30.05,15.23,,,0.62,0.53,0.81,0,0.02,0.04,0.27,,,,15.84,,,99.87,,,3.2,1.84,0.35,198,,,28,193,107,234,569,163,102,28.5,3.75,,18.3,176,32.6,,,,,,,8.78,2.13,,,,,6.37,,3.87,0.71,26.8,243,8.88,44.1,9.87,2.57,8.21,1.09,5.42,0.95,2.67,0.37,2.44,0.35,20.22,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
105,HK06-14,26.2,4.08,28.69,23.4,,,0.24,0,0.64,0,0.1,0.04,0.55,,,,16.19,,,100.16,,,3.76,1.24,0.35,138,,,47,288,675,82,459,237,124,39.4,3.88,,23.6,236,4.62,,,,,,,12.4,2.93,,,,,6.08,,5.21,1.19,3.1,104,11.3,59.2,13.5,3.5,9.47,1.48,7.58,1.3,3.57,0.49,3.3,0.47,10229.42,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
106,HK06-15,30.73,3.61,28.06,19.44,,,0.2,0.15,0.87,0,0.02,0.04,0.46,,,,16.46,,,99.89,,,4.45,1.43,0.38,151,,,36.7,248,410,77.8,472,185,114,33.7,3.47,,27.9,210,38.5,,,,,,,11,2.57,,,,,6.07,,4.74,0.87,41.4,130,14.4,71.6,16.1,4.13,19,1.62,8.52,1.43,4.14,0.56,3.74,0.52,88.41,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
107,HK06-16,20.8,5.01,28.05,27.23,,,0.23,0.17,0.63,0,0.02,0.05,0.81,,,,17.53,,,100.37,,,5.97,1.36,0.4,119,,,55.5,352,834,57.9,402,236,129,46.1,3.44,,24.7,285,52.4,,,,,,,15.5,3.43,,,,,6.5,,6.37,1.54,34.2,87.2,12.2,62.2,14.6,3.89,10.9,1.56,8.29,1.37,3.83,0.53,3.54,0.48,112.23,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
108,HK06-17,19.66,4.91,28.09,27.62,,,0.15,0.1,0.68,0.01,0.05,0.05,0.81,,,,18.44,,,100.47,,,5.28,2.57,0.46,222,,,41.8,317,677,91.7,606,362,187,45.5,2.67,,51.8,271,50.3,,,,,,,14.9,3.31,,,,,5.93,,5.97,1.14,65,72.6,23.4,121,26.9,6.94,18.8,2.61,13.8,2.44,6.86,0.92,5.79,0.83,196.93,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
109,HK06-18,24.37,5.3,26.73,27.65,,,0.13,0.09,0.76,0.01,0.01,0.05,0.69,,,,14.23,,,99.93,,,5.84,2.99,0.54,108,,,49.6,372,783,44.6,352,234,134,47.2,3.3,,55.9,299,55.3,,,,,,,16.7,3.79,,,,,5.39,,6.81,1.5,77.2,169,27.1,137,31.2,8.06,22.3,3.19,16.5,2.85,8.07,1.13,7.03,0.99,208.4,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
110,HK06-19,27.65,4.61,25.82,23.74,,,0.38,0.31,0.5,0.01,0.09,0.03,0.47,,,,17.14,,,100.44,,,2.89,5.22,0.42,2430,,,41.1,320,331,154,393,239,110,41.4,2.93,,62.5,297,53,,,,,,,15.7,3.65,,,,,8.91,,6.7,1.31,84.2,323,28.5,147,32.4,8.36,24.9,3.39,17.7,3.05,8.84,1.22,7.57,1.09,53,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
111,HK06-20,17.49,5.29,31.6,27.04,,,0.16,0.11,0.5,0,0.04,0.01,0.77,,,,17.26,,,100.17,,,1.65,2.43,0.28,117,,,50.1,346,752,61.1,270,233,125,48.4,2.43,,51.2,297,54.6,,,,,,,16.4,3.66,,,,,6.02,,6.58,2.03,63.1,154,21.6,111,26,7.03,19.7,2.88,15.1,2.57,7.28,1.01,6.5,0.92,172.41,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
112,HK06-R1,51.77,1.85,14.12,10.33,,,0.13,0.11,7.26,8.82,2.56,0.7,0.28,,,,1.63,,,99.46,,,16.8,286,0.36,236,,,19.5,141,231,106,159,71.3,99.2,19.1,1.3,,20.9,126,21.5,,,,,,,5.36,1.32,,,,,3.41,,2.46,0.55,15.9,30.3,3.8,17.5,4.56,1.51,4.88,0.8,4.28,0.81,2.07,0.26,1.59,0.24,67.65,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
113,HK06-R2,52,1.91,14.25,10.56,,,0.14,0.1,7.41,8.93,2.65,0.77,0.31,,,,1.51,,,100.42,,,15.4,275,0.31,196,,,17.9,136,208,95.3,149,67,96.4,17.6,1.17,,20.1,119,22.6,,,,,,,5.02,1.37,,,,,3.52,,2.63,0.6,16.6,30.7,3.73,17.2,4.44,1.48,4.91,0.75,4.12,0.79,1.99,0.25,1.53,0.22,76.7,8,Laterite,oxide,oxide,"Hainan Island, China",,"whole rock XRF, ICP-OES/MS",
114,Coated grain #1 - 01,23.72,0.04,20.43,,37.8,,0.02,,5.63,0.03,0,0.05,,,,,,10.6,,98.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740.56,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
115,Coated grain #1 - 02,23.67,0.16,20.45,,38.09,,0.07,,5.7,0.07,0.01,0,,,,,,10.64,,98.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.16,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
116,Coated grain #1 - 03,23.75,0.62,19.68,,39.17,,0,,5.07,0.17,0,0.02,,,,,,10.6,,99.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29712016.33,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
117,Coated grain #1 - 04,23.81,0.44,20.29,,37.69,,0.06,,5.74,0.17,0.01,0.02,,,,,,10.59,,98.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649.82,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
118,Coated grain #1 - 05,23.71,0.52,20.22,,38.03,,0.07,,5.33,0.16,0.01,0.03,,,,,,10.36,,98.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.38,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
119,Coated grain #1 - 06,23.46,0.96,19.98,,38.15,,0.03,,5.41,0.19,0,0.03,,,,,,10.6,,98.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1169.3,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
120,Coated grain #1 - 07,23.82,0.26,20.12,,37.33,,0.08,,5.37,0.4,0,0.07,,,,,,10.57,,98.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.18,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
121,Coated grain #2 - 01,23.61,0.02,21.72,,37.43,,0.02,,5.6,0.07,0.02,0.01,,,,,,10.74,,99.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717.82,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
122,Coated grain #2 - 02,22.97,0,21.44,,38.67,,0.06,,4.83,0.09,0,0.01,,,,,,10.58,,98.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.29,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
123,Coated grain #2 - 03,23.4,0.01,20.89,,38.71,,0.03,,5.04,0.03,0,0.01,,,,,,10.59,,98.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1188.93,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
124,Coated grain #2 - 04,22.35,0.08,20.19,,36.44,,0.04,,4.88,2.91,0.01,0.01,,,,,,10.31,,97.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911.39,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
125,Coated grain #2 - 05,23.49,0.53,19.81,,38.19,,0.05,,5.37,0.94,0,0.02,,,,,,10.6,,99.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.67,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
126,Coated grain #2 - 06,23.76,0.67,20.02,,38.06,,0.07,,5.5,0.5,0,0.02,,,,,,10.67,,99.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.99,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
127,Coated grain #2 - 07,23.92,0.57,19.98,,38,,0.03,,5.66,0.22,0,0.02,,,,,,10.67,,99.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309.22,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
128,Coated grain #2 - 08,23.8,0.21,20.23,,38.16,,0,,5.47,0.07,0,0.01,,,,,,10.61,,98.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28912289.99,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
129,Coated grain #3 - 01,23.04,0.02,22.01,,38.19,,0.03,,4.57,0.04,0.02,0,,,,,,10.59,,98.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316.57,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
130,Coated grain #3 - 02,23.48,0.02,22.82,,36.45,,0.03,,5.43,0.04,0.03,0,,,,,,10.72,,99.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431.75,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
131,Coated grain #3 - 03,23.42,0,22.32,,37.97,,0,,4.61,0,0.01,0.01,,,,,,10.7,,99.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10485.7,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
132,Coated grain #3 - 04,25.11,0.52,20.85,,37.01,,0.03,,5.29,0.09,0.03,0.29,,,,,,10.88,,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452.17,9,chamosite coated grains,mixed,,"Willowvale Creek, NY, Westmoreland formation",Silurian,electron microprobe,
