Sample,Formation,Pathway
HM-7,Carbonates,Carbonates
HM-8,Carbonates,Carbonates
HM-9,Carbonates,Carbonates
HM-10,Carbonates,Carbonates
HMA,Carbonates,Carbonates
EgN-Lazy,,
EgS-Lazy,,
BtxN-Lazy,,
BtxS-Lazy,,
EgN-Plesna,,
EgS-Plesna,,
BtxN-Plesna,,
BtxS-Plesna,,
C-2NFM-lt1,,
C-2NFM-1-2,,
C-2NFM-2-5,,
C-2NFM-5-20,,
C-2N-1-2,,
C-2N-2-5,,
C-2N-5-20,,
C-2N-lt1,,
C-3NFM-1-2,,
C-3NFM-2-5,,
C-3NFM-5-20,,
C-3N-1-2,,
C-3N-2-5,,
C-3N-5-20,,
SG-acidic-iron,,
SG-acidic,,
SG-mafic-iron,,
SG-mafic,,
SG-alluvial-iron,,
SG-alluvial,,
F2,,
F15,,
F38,,
F40,,
TN2,,
VdL0-25,,
TN41,,
TN4,,
TN3,,
LFMean,,
CA1-4-Ap,,
CA2-4-Ap,,
CA3-3-Ap,,
CA4-2-A,,
CA5-2-A,,
CA6-1-A,,
CA7-1.5-A,,
CA8-1-Btg,,
TR9-2.5-A,,
TR10-2-A,,
TR11-1-A,,
TR12-1-A,,
TR13-1.5-AB,,
TR14-2-AB,,
TR15-1-Bt1,,
TR16-1-Bt2,,
TR17-2-Bt2,,
TR18-0.5-Bt2,,
POFBI-Ap-BL-gt2,,
POFBI-Ap-BL-2,,
POFBI-Ap-BL-1,,
POFBI-Ap-BR-gt2,,
POFBI-Ap-BR-2,,
POFBI-Ap-BR-1,,
STF2-Btl-BL-gt2,,
STF2-Btl-BL-2,,
STF2-Btl-BL-1,,
STF2-Btl-BR-gt2,,
STF2-Btl-BR-2,,
STF2-Btl-BR-1,,
