Number,Sample,Formation,Pathway
683,DMSA-DJA3-1CA1,Marine,Mixed
684,DMSA-DJA3-1CA2,Marine,Mixed
685,DMSA-DJ59-1CA1,Marine,Mixed
686,DMSA-DJ59-1CA2,Marine,Mixed
687,DMSA-DJ63-1CA1,Marine,Mixed
688,DMSA-DJ63-1CA2,Marine,Mixed
689,DMSA-DJ65-1CA1,Marine,Mixed
690,DMSA-DJ65-1CA2,Marine,Mixed
691,DMSA-DJ66-1CA1,Marine,Mixed
692,DMSA-DJ66-1CA2,Marine,Mixed
693,DMSA-DJ69-1CA1,Marine,Mixed
694,DMSA-DJ69-1CA2,Marine,Mixed
695,DMSA-DJ70-1CA1,Marine,Mixed
696,DMSA-DJ72-1CA1,Marine,Mixed
697,DMSA-DJ72-1CA2,Marine,Mixed
698,DMSA-DJ73-1CA1,Marine,Mixed
699,CPHigh,,
700,CPValleyTick,,
701,CPValleyThin,,
702,PD08SI,Marine,Hydrogenetic
703,RD27S7,Marine,Hydrogenetic
704,RD66S5,Marine,Hydrogenetic
705,PD,Marine,Hydrogenetic
706,RD67S3,Marine,Hydrogenetic
707,PDI8S6,Marine,Hydrogenetic
708,RC4S/,Marine,Hydrogenetic
709,RD27SI,Marine,Hydrogenetic
710,RD27S6,Marine,Hydrogenetic
711,RD27S5,Marine,Hydrogenetic
712,PD6S9,Marine,Hydrogenetic
713,PD6S5,Marine,Hydrogenetic
714,RD68S5,Marine,Hydrogenetic
715,PD6SI2,Marine,Hydrogenetic
716,PD6S6,Marine,Hydrogenetic
717,RD66S3,Marine,Hydrogenetic
718,RD24SI,Marine,Hydrogenetic
719,RD24S4,Marine,Hydrogenetic
720,RD23S3,Marine,Hydrogenetic
721,RD22S2,Marine,Hydrogenetic
722,RD62S2,Marine,Hydrogenetic
723,RD58S7,Marine,Hydrogenetic
724,RD60S4,Marine,Hydrogenetic
725,RD53S3,Marine,Hydrogenetic
726,RD60S50,Marine,Hydrogenetic
727,RD55-$2,Marine,Hydrogenetic
728,RD62-S1,Marine,Hydrogenetic
729,RD65-$2,Marine,Hydrogenetic
730,RD50-SI6,Marine,Hydrogenetic
731,RD52-$6,Marine,Hydrogenetic
732,RD47-$3,Marine,Hydrogenetic
733,RD60-S2,Marine,Hydrogenetic
734,Ave.,Marine,Hydrogenetic
735,"Ave.<2,000",Marine,Hydrogenetic
736,"Ave.>2,000",Marine,Hydrogenetic
737,RD30S15,Marine,Hydrogenetic
738,PDIOS3Lo,Marine,Hydrogenetic
739,DR2-9,Marine,Hydrogenetic
740,DR3-1,Marine,Hydrogenetic
741,DR04-14,Marine,Hydrogenetic
742,DR7-8,Marine,Hydrogenetic
743,DR9-10,Marine,Hydrogenetic
744,DR9-11,Marine,Hydrogenetic
745,DR10-7,Marine,Hydrogenetic
746,DR11-2,Marine,Hydrogenetic
747,DR14-1,Marine,Hydrogenetic
748,DR13-11,Marine,Hydrogenetic
749,DR13-12,Marine,Hydrogenetic
750,DR13-13,Marine,Hydrogenetic
751,DR15-14A,Marine,Hydrogenetic
752,DR15-15,Marine,Hydrogenetic
753,DR16-5,Marine,Hydrogenetic
754,DR16-13,Marine,Hydrogenetic
755,CISP,Marine,Hydrogenetic
756,Altlantic,Marine,Hydrogenetic
757,Pacific,Marine,Hydrogenetic
758,Indian,Marine,Hydrogenetic
759,DR 9-11-1,Marine,Hydrogenetic
760,DR 9-11-2,Marine,Hydrogenetic
761,DR 9-11-3,Marine,Hydrogenetic
762,DR 9-11-4,Marine,Hydrogenetic
763,DR 16-5-5,Marine,Hydrogenetic
764,DR 16-5-6,Marine,Hydrogenetic
765,DR 16-5-7,Marine,Hydrogenetic
766,DR 16-5-8,Marine,Hydrogenetic
767,DR 16-5-9,Marine,Hydrogenetic
768,DR 16-5-10,Marine,Hydrogenetic
769,DR 16-5-11,Marine,Hydrogenetic
770,DR 13-11-12,Marine,Hydrogenetic
771,DR 13-11-13,Marine,Hydrogenetic
772,DR 9-11-14,Marine,Hydrogenetic
773,DR 9-11-15,Marine,Hydrogenetic
774,PB-Surf,Marine,Hydrogenetic
775,PB-2,Marine,Hydrogenetic
776,PB-8.7,Marine,Hydrogenetic
777,PB-15.2,Marine,Hydrogenetic
